epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6446,1.24925,3.26022,1.2265,0.11726,0.24872,0.09838,0.06342,1.42322,2.94226,1.30563,0.000405405,0.000405405,0.000405405
2,26.93,1.28208,2.0859,1.19908,0.42982,0.13895,0.09728,0.05752,1.43769,3.06077,1.43791,0.000789518,0.000789518,0.000789518
3,35.3791,1.29756,1.99189,1.22734,0.41881,0.15226,0.10537,0.06318,1.43216,3.32662,1.38754,0.00114063,0.00114063,0.00114063
4,43.9701,1.35355,1.99683,1.23075,0.4031,0.15294,0.07714,0.04358,1.60419,4.86242,1.44843,0.0011015,0.0011015,0.0011015
5,52.4437,1.32206,1.9735,1.2239,0.47092,0.17486,0.13392,0.08556,1.40937,2.71137,1.31847,0.001052,0.001052,0.001052
6,61.1987,1.28738,1.90328,1.19755,0.20834,0.22658,0.16238,0.09759,1.35426,2.13531,1.33707,0.0010025,0.0010025,0.0010025
7,69.8594,1.26052,1.84961,1.19599,0.1765,0.21941,0.14843,0.1007,1.3048,2.54559,1.25998,0.000953,0.000953,0.000953
8,78.5698,1.20622,1.76438,1.1557,0.40523,0.22009,0.13551,0.09355,1.29773,2.23107,1.22705,0.0009035,0.0009035,0.0009035
9,87.3182,1.21308,1.73628,1.15402,0.49461,0.25111,0.19141,0.12521,1.28755,1.95388,1.24471,0.000854,0.000854,0.000854
10,95.834,1.15396,1.65704,1.13491,0.44156,0.22817,0.179,0.12616,1.24515,2.06003,1.20976,0.0008045,0.0008045,0.0008045
11,104.568,1.12233,1.62455,1.13394,0.478,0.26452,0.18795,0.13556,1.18749,2.08069,1.20928,0.000755,0.000755,0.000755
12,113.209,1.13615,1.58116,1.11653,0.1966,0.26667,0.19554,0.14219,1.16334,1.79451,1.16869,0.0007055,0.0007055,0.0007055
13,121.83,1.10581,1.5099,1.09801,0.19193,0.26014,0.19737,0.13939,1.1877,1.81913,1.15508,0.000656,0.000656,0.000656
14,130.607,1.08576,1.47496,1.09642,0.21525,0.22956,0.18954,0.13256,1.15879,2.02057,1.16342,0.0006065,0.0006065,0.0006065
15,139.24,1.08637,1.44378,1.08747,0.31568,0.27132,0.24911,0.17077,1.11385,1.74858,1.1445,0.000557,0.000557,0.000557
16,170.522,1.02549,1.48687,1.04358,0.28047,0.25939,0.23173,0.16631,1.18426,1.91852,1.19498,0.0005075,0.0005075,0.0005075
17,179.967,0.99418,1.36921,1.01472,0.52819,0.21301,0.20675,0.14424,1.17361,1.86983,1.19377,0.000458,0.000458,0.000458
18,189.166,0.95725,1.34148,1.01702,0.26649,0.33329,0.23805,0.17928,1.11159,1.69556,1.15939,0.0004085,0.0004085,0.0004085
19,198.054,0.94284,1.27255,0.99848,0.25733,0.32428,0.23063,0.16543,1.12701,1.77752,1.15465,0.000359,0.000359,0.000359
20,206.706,0.94139,1.22941,0.99641,0.28825,0.35127,0.26158,0.1822,1.13919,1.82073,1.16884,0.0003095,0.0003095,0.0003095
21,215.228,0.91411,1.16953,0.98556,0.32365,0.3375,0.27214,0.18698,1.13879,1.70476,1.1537,0.00026,0.00026,0.00026
22,223.675,0.87984,1.08868,0.96699,0.32088,0.28835,0.27704,0.19051,1.1289,1.70125,1.15436,0.0002105,0.0002105,0.0002105
23,232.068,0.85148,1.04462,0.9644,0.33424,0.28123,0.24763,0.17463,1.13241,1.73289,1.15732,0.000161,0.000161,0.000161
24,240.542,0.84765,0.98603,0.95783,0.33178,0.29057,0.27815,0.19235,1.1396,1.66807,1.1747,0.0001115,0.0001115,0.0001115
25,248.999,0.83351,0.94861,0.94511,0.28855,0.36348,0.27881,0.20051,1.12565,1.71588,1.16214,6.2e-05,6.2e-05,6.2e-05
