epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5215,1.3101,3.17077,1.17507,0.54171,0.02358,0.14942,0.11511,1.12411,3.19795,1.09464,0.000411036,0.000411036,0.000411036
2,19.6279,1.3318,2.51425,1.18627,0.36407,0.17957,0.09461,0.06014,1.34723,2.77082,1.25092,0.000811314,0.000811314,0.000811314
3,27.4586,1.39962,2.42813,1.2073,0.13403,0.21835,0.11998,0.07773,1.31032,2.60186,1.20756,0.00119509,0.00119509,0.00119509
4,35.4046,1.39607,2.31189,1.23076,0.40663,0.20678,0.13902,0.0865,1.40692,2.32229,1.27124,0.00117575,0.00117575,0.00117575
5,44.1087,1.39361,2.2665,1.21685,0.52637,0.18712,0.1114,0.07017,1.3285,2.70808,1.26527,0.001151,0.001151,0.001151
6,52.0894,1.35223,2.12145,1.20504,0.44571,0.22622,0.19273,0.13052,1.33031,2.22507,1.19989,0.00112625,0.00112625,0.00112625
7,59.929,1.33828,2.08345,1.18861,0.4903,0.18545,0.14117,0.08911,1.27802,2.67311,1.23285,0.0011015,0.0011015,0.0011015
8,67.4673,1.34385,2.01396,1.19323,0.45153,0.24965,0.15761,0.10144,1.25939,2.12943,1.19807,0.00107675,0.00107675,0.00107675
9,75.005,1.27933,1.9549,1.16396,0.46326,0.22501,0.17721,0.12215,1.26269,2.07854,1.20477,0.001052,0.001052,0.001052
10,82.8332,1.27047,1.91346,1.15639,0.22353,0.22998,0.17389,0.11563,1.2586,2.13257,1.18285,0.00102725,0.00102725,0.00102725
11,90.2617,1.2229,1.84988,1.13823,0.43738,0.25506,0.20423,0.14242,1.1973,1.94576,1.16781,0.0010025,0.0010025,0.0010025
12,97.9792,1.25264,1.83724,1.13898,0.53492,0.2082,0.20042,0.13661,1.24495,1.9691,1.18024,0.00097775,0.00097775,0.00097775
13,105.907,1.24303,1.82403,1.13596,0.47544,0.25022,0.21173,0.14793,1.23131,1.94764,1.17292,0.000953,0.000953,0.000953
14,113.896,1.22183,1.76879,1.12512,0.26306,0.22381,0.19757,0.13517,1.2348,1.97571,1.19611,0.00092825,0.00092825,0.00092825
15,121.749,1.18435,1.7243,1.12003,0.24407,0.2399,0.20493,0.13788,1.20924,1.8162,1.17406,0.0009035,0.0009035,0.0009035
16,129.751,1.18791,1.70968,1.11654,0.22019,0.2598,0.17785,0.11967,1.1867,1.97044,1.14505,0.00087875,0.00087875,0.00087875
17,137.145,1.20683,1.74497,1.12369,0.34259,0.29439,0.25927,0.17304,1.2193,1.87728,1.17019,0.000854,0.000854,0.000854
18,144.79,1.17673,1.655,1.09885,0.16638,0.32285,0.22245,0.15161,1.18136,1.91369,1.14877,0.00082925,0.00082925,0.00082925
19,152.35,1.15001,1.60932,1.08813,0.34944,0.29699,0.26951,0.19817,1.16834,1.76192,1.14933,0.0008045,0.0008045,0.0008045
20,160.531,1.17699,1.62466,1.11138,0.38568,0.27172,0.2398,0.16777,1.1846,1.807,1.14774,0.00077975,0.00077975,0.00077975
21,168.834,1.14826,1.58754,1.09567,0.23473,0.35369,0.23195,0.16668,1.15932,1.85732,1.13937,0.000755,0.000755,0.000755
22,176.407,1.14098,1.56182,1.07989,0.19303,0.28885,0.1874,0.12866,1.18563,1.92414,1.14146,0.00073025,0.00073025,0.00073025
23,184.261,1.11856,1.56385,1.09449,0.2417,0.30597,0.22896,0.16626,1.14964,1.83712,1.12044,0.0007055,0.0007055,0.0007055
24,191.971,1.13326,1.51899,1.07983,0.25025,0.26364,0.2222,0.15902,1.1801,1.84515,1.15245,0.00068075,0.00068075,0.00068075
25,199.447,1.08166,1.44224,1.06295,0.54607,0.25554,0.22968,0.16412,1.14995,1.84042,1.13296,0.000656,0.000656,0.000656
26,206.833,1.10014,1.42392,1.06087,0.27176,0.36482,0.2358,0.16987,1.15961,1.89883,1.14914,0.00063125,0.00063125,0.00063125
27,214.894,1.03785,1.39694,1.0537,0.23289,0.26594,0.22299,0.15901,1.17115,1.81101,1.12443,0.0006065,0.0006065,0.0006065
28,222.343,1.05858,1.4065,1.05574,0.23017,0.23118,0.19544,0.13322,1.15099,1.90828,1.13335,0.00058175,0.00058175,0.00058175
29,230.374,1.07673,1.39068,1.06084,0.32985,0.34292,0.23656,0.17126,1.14135,1.81647,1.14749,0.000557,0.000557,0.000557
30,238.407,1.0526,1.33759,1.05096,0.25092,0.23616,0.22279,0.15613,1.14193,1.88706,1.12968,0.00053225,0.00053225,0.00053225
31,246.286,1.02519,1.29349,1.02239,0.2119,0.26548,0.21567,0.15516,1.12731,1.87724,1.10632,0.0005075,0.0005075,0.0005075
32,254.083,1.06704,1.32856,1.04527,0.27252,0.24993,0.22315,0.16028,1.13334,1.85405,1.12629,0.00048275,0.00048275,0.00048275
33,261.447,1.02011,1.266,1.0361,0.26891,0.34299,0.23632,0.17421,1.13194,1.86803,1.1429,0.000458,0.000458,0.000458
34,269.409,1.0469,1.28027,1.03856,0.19512,0.29994,0.19651,0.13937,1.12789,1.96861,1.12712,0.00043325,0.00043325,0.00043325
35,277.252,1.02318,1.25438,1.02787,0.34112,0.28386,0.23477,0.16723,1.13763,1.8992,1.14555,0.0004085,0.0004085,0.0004085
36,285.08,1.01401,1.22518,1.02016,0.2262,0.3012,0.20239,0.14744,1.12924,1.93773,1.13076,0.00038375,0.00038375,0.00038375
37,292.56,1.02207,1.21899,1.02016,0.2559,0.28563,0.20228,0.14835,1.11058,1.91966,1.1212,0.000359,0.000359,0.000359
38,300.019,1.02686,1.19044,1.01498,0.27778,0.32541,0.22125,0.15838,1.09293,1.86031,1.11749,0.00033425,0.00033425,0.00033425
39,307.719,0.98503,1.16866,1.01428,0.35265,0.31602,0.23769,0.17111,1.09596,1.88963,1.11413,0.0003095,0.0003095,0.0003095
40,315.439,0.96374,1.12359,1.01866,0.30246,0.30697,0.22704,0.15654,1.128,1.99113,1.14205,0.00028475,0.00028475,0.00028475
41,343.809,0.91876,1.14688,0.96569,0.47516,0.20154,0.21786,0.15551,1.12149,1.95859,1.1355,0.00026,0.00026,0.00026
42,351.316,0.88943,1.06903,0.95109,0.26657,0.3166,0.22061,0.15764,1.13232,1.8988,1.13736,0.00023525,0.00023525,0.00023525
