epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7596,1.55339,5.53253,0.00604,0.00731,0.52354,0.10092,0.07792,1.37975,4.22373,0.00668,0.000411036,0.000411036,0.000411036
2,30.7536,1.57924,4.41128,0.00633,0.45475,0.11226,0.13082,0.09343,1.45122,3.46555,0.00753,0.000800389,0.000800389,0.000800389
3,41.3305,1.67045,3.85067,0.00626,0.44068,0.16275,0.14977,0.10377,1.53712,2.77794,0.00793,0.00116224,0.00116224,0.00116224
4,51.8694,1.65056,3.40661,0.00727,0.43194,0.20054,0.14069,0.09051,1.5826,2.59953,0.0086,0.00112625,0.00112625,0.00112625
5,62.1531,1.65338,3.09026,0.00707,0.42144,0.21029,0.13439,0.08898,1.55016,2.61281,0.0083,0.001085,0.001085,0.001085
6,72.6615,1.6366,2.77946,0.00697,0.41246,0.19494,0.15119,0.10428,1.5092,2.44412,0.00808,0.00104375,0.00104375,0.00104375
7,83.2757,1.60265,2.64235,0.00672,0.42832,0.23856,0.15787,0.10684,1.52617,2.36108,0.00856,0.0010025,0.0010025,0.0010025
8,93.6835,1.60855,2.52097,0.0066,0.4343,0.23136,0.15234,0.10203,1.54703,2.45394,0.0082,0.00096125,0.00096125,0.00096125
9,104.168,1.59591,2.41763,0.00657,0.44103,0.24194,0.16688,0.11132,1.54532,2.39264,0.00816,0.00092,0.00092,0.00092
10,114.667,1.5669,2.33074,0.00633,0.44573,0.20771,0.15286,0.10185,1.56781,2.55875,0.00831,0.00087875,0.00087875,0.00087875
11,125.182,1.51868,2.26698,0.00633,0.49484,0.26242,0.19116,0.13247,1.4861,2.28152,0.0078,0.0008375,0.0008375,0.0008375
12,135.91,1.59866,2.21815,0.00595,0.15728,0.28785,0.17012,0.11558,1.53717,2.41866,0.00815,0.00079625,0.00079625,0.00079625
13,146.086,1.57421,2.18312,0.0061,0.52927,0.22038,0.204,0.13723,1.5185,2.31096,0.00813,0.000755,0.000755,0.000755
14,156.558,1.51868,2.1094,0.00597,0.28116,0.24813,0.20122,0.13933,1.5127,2.23892,0.00798,0.00071375,0.00071375,0.00071375
15,166.973,1.5011,2.05095,0.00589,0.24902,0.31175,0.21928,0.15442,1.46639,2.1346,0.00758,0.0006725,0.0006725,0.0006725
16,177.394,1.47997,2.00138,0.00591,0.48839,0.29057,0.2292,0.16054,1.42097,2.18073,0.00741,0.00063125,0.00063125,0.00063125
17,188.049,1.50789,2.01287,0.00573,0.34052,0.29857,0.25138,0.17292,1.44527,2.15776,0.00731,0.00059,0.00059,0.00059
18,198.338,1.48071,1.91675,0.00554,0.1975,0.31577,0.22395,0.15277,1.45897,2.23034,0.00757,0.00054875,0.00054875,0.00054875
19,208.912,1.46159,1.88653,0.00545,0.35787,0.26462,0.23696,0.16516,1.46425,2.15999,0.00744,0.0005075,0.0005075,0.0005075
20,219.437,1.46326,1.86479,0.00551,0.33259,0.28212,0.25301,0.1717,1.43903,2.19723,0.00701,0.00046625,0.00046625,0.00046625
21,250.054,1.39747,1.86468,0.00569,0.23858,0.28864,0.23641,0.1636,1.47943,2.15922,0.00764,0.000425,0.000425,0.000425
22,261.605,1.37989,1.73979,0.0056,0.40966,0.25388,0.21624,0.14783,1.43576,2.26223,0.00691,0.00038375,0.00038375,0.00038375
23,273.206,1.34989,1.69146,0.00522,0.36667,0.27094,0.22741,0.15537,1.38195,2.26518,0.00651,0.0003425,0.0003425,0.0003425
24,283.903,1.32647,1.63045,0.00486,0.30369,0.30539,0.23282,0.15781,1.38871,2.25118,0.00659,0.00030125,0.00030125,0.00030125
25,295.112,1.32426,1.61468,0.00497,0.34151,0.27413,0.23975,0.15985,1.41103,2.24458,0.00698,0.00026,0.00026,0.00026
26,307.174,1.32213,1.57492,0.00491,0.34945,0.29195,0.23923,0.16011,1.41748,2.25424,0.00725,0.00021875,0.00021875,0.00021875
27,319.141,1.32766,1.54275,0.00459,0.39521,0.27184,0.24086,0.16451,1.4011,2.23116,0.00694,0.0001775,0.0001775,0.0001775
28,330.542,1.27457,1.52028,0.00461,0.36731,0.2589,0.24295,0.1718,1.39836,2.21951,0.00689,0.00013625,0.00013625,0.00013625
29,340.987,1.28423,1.49468,0.00459,0.41968,0.2565,0.24042,0.16788,1.39437,2.24783,0.00681,9.5e-05,9.5e-05,9.5e-05
30,351.416,1.27292,1.52294,0.00452,0.4049,0.25884,0.23948,0.17061,1.40337,2.25022,0.00677,5.375e-05,5.375e-05,5.375e-05
